Trường,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
Đại học An Giang,49,Công nghệ thông tin,7480201,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,50,Công nghệ thông tin,7480201,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
Đại học An Giang,51,Công nghệ kỹ thuật hoá học,7510401,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,52,Công nghệ kỹ thuật hoá học,7510401,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
Đại học An Giang,53,Công nghệ kỹ thuật môi trường,7510406,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.2,Nhóm 1
Đại học An Giang,54,Công nghệ kỹ thuật môi trường,7510406,C01; C02; C03; C04; C08; X17; X70; X74,16.75,Nhóm 3
Đại học An Giang,55,Công nghệ thực phẩm,7540101,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,56,Công nghệ thực phẩm,7540101,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
Đại học An Giang,57,Công nghệ sau thu hoạch,7540104,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,58,Công nghệ sau thu hoạch,7540104,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
Đại học An Giang,59,Đảm bảo chất lượng và an toàn thực phẩm,7540106,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
Đại học An Giang,60,Đảm bảo chất lượng và an toàn thực phẩm,7540106,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,61,Chăn nuôi,7620105,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
Đại học An Giang,62,Chăn nuôi,7620105,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,63,Khoa học cây trồng,7620110,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,64,Khoa học cây trồng,7620110,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
Đại học An Giang,65,Bảo vệ thực vật,7620112,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,66,Bảo vệ thực vật,7620112,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
Đại học An Giang,67,Phát triển nông thôn,7620116,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,68,Phát triển nông thôn,7620116,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
Đại học An Giang,69,Phát triển nông thôn,7620116,C00,17.75,Nhóm 2
Đại học An Giang,70,Công nghệ nông nghiệp số,7620190,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,71,Kinh doanh nông nghiệp số,7620191,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,72,Kinh doanh nông nghiệp số,7620191,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
Đại học An Giang,73,Nuôi trồng thủy sản,7620301,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,74,Nuôi trồng thủy sản,7620301,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
Đại học An Giang,75,Thú y,7640101,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,18.5,Nhóm 1
Đại học An Giang,76,Thú y,7640101,C01; C02; C03; C04; C08; X17; X70; X74,19.5,Nhóm 3
Đại học An Giang,77,Quản lý tài nguyên và môi trường,7850101,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,78,Quản lý tài nguyên và môi trường,7850101,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
